"Name", "Stmts", "Miss", "Cover"
"gen_mmap/__init__.py", "8", "0", "100%"
"gen_mmap/core/__init__.py", "9", "0", "100%"
"gen_mmap/core/model/__init__.py", "9", "0", "100%"
"gen_mmap/core/model/project_setup.py", "14", "0", "100%"
"gen_mmap/core/service/__init__.py", "9", "0", "100%"
"gen_mmap/core/service/engine.py", "27", "3", "89%"
"gen_mmap/core/service/iservice.py", "16", "2", "88%"
"gen_mmap/core/service/isubprocessor.py", "16", "2", "88%"
"gen_mmap/engine.py", "57", "0", "100%"
"gen_mmap/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_mmap/infrastructure/cli/engine.py", "39", "7", "82%"
"gen_mmap/infrastructure/cli/icli.py", "16", "2", "88%"
"gen_mmap/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_mmap/infrastructure/cli/setup/bundle.py", "22", "1", "95%"
"gen_mmap/infrastructure/cli/setup/dep_validator.py", "28", "0", "100%"
"gen_mmap/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_mmap/infrastructure/cli/setup/factory.py", "32", "0", "100%"
"gen_mmap/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_mmap/infrastructure/cli/setup/opt_validator.py", "28", "0", "100%"
"gen_mmap/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_mmap/infrastructure/cli/setup/registry.py", "21", "0", "100%"
"gen_mmap/infrastructure/cli/setup/validator.py", "35", "0", "100%"
"gen_mmap/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_mmap/infrastructure/command/command.py", "16", "0", "100%"
"gen_mmap/infrastructure/command/gen_mmap_command_definition.py", "24", "1", "96%"
"gen_mmap/infrastructure/command/gen_mmap_command_executor.py", "21", "2", "90%"
"gen_mmap/infrastructure/command/icommand_definition.py", "15", "0", "100%"
"gen_mmap/infrastructure/command/icommand_executor.py", "14", "1", "93%"
"gen_mmap/infrastructure/subprocessor.py", "57", "20", "65%"
"gen_mmap/setup/__init__.py", "9", "0", "100%"
"gen_mmap/setup/bundle.py", "23", "1", "96%"
"gen_mmap/setup/dep_validator.py", "28", "0", "100%"
"gen_mmap/setup/dependencies.py", "19", "0", "100%"
"gen_mmap/setup/factory.py", "45", "1", "98%"
"gen_mmap/setup/keys.py", "27", "1", "96%"
"gen_mmap/setup/opt_validator.py", "26", "9", "65%"
"gen_mmap/setup/options.py", "12", "0", "100%"
"gen_mmap/setup/registry.py", "29", "0", "100%"
"gen_mmap/setup/validator.py", "40", "0", "100%"
"Total", "877", "53", "94%"
